stage,stage_name,klass,feature,coef
1,急性度,0,L_Cr,2.4569306994648614
1,急性度,0,L_BUN,0.8019420045033813
1,急性度,0,L_UPCR,-0.6879629883659265
1,急性度,0,L_uRBC,1.419144922760013
1,急性度,0,L_uRBC_dys,0.27746533358228936
1,急性度,0,L_uRBC_acan,0.12052491759346813
1,急性度,0,L_uRBC_cast,0.2387324179277529
1,急性度,0,L_uWBC,0.2940407956401428
1,急性度,0,L_NLR,1.1404591866123217
1,急性度,0,L_CRP,0.5025321577928907
1,急性度,0,L_SBP,0.34941468891598015
1,急性度,0,L_alb,0.24884750091968086
1,急性度,0,L_eos,0.314368662728282
1,急性度,0,L_PLT,-0.35644244324388413
1,急性度,0,S_Cr,1.336310121867298
1,急性度,0,S_BUN,0.5317567574784813
1,急性度,0,S_UPCR,0.48794496912351376
1,急性度,0,S_uRBC,-0.1907785149801924
1,急性度,0,S_uRBC_dys,0.30594380031900553
1,急性度,0,S_uRBC_acan,0.064547322546987
1,急性度,0,S_uRBC_cast,-0.0900958616577674
1,急性度,0,S_uWBC,-0.033251202008810446
1,急性度,0,S_NLR,0.15580062403986156
1,急性度,0,S_CRP,-0.09700060564022123
1,急性度,0,S_SBP,0.004008870195419653
1,急性度,0,S_alb,0.0331123192987115
1,急性度,0,S_eos,0.27739109484816205
1,急性度,0,S_PLT,0.10873952536663492
1,急性度,0,R_Cr_UPCR,0.06314583977426358
1,急性度,0,R_UPCR_alb,0.8812904013688327
1,急性度,0,R_UPCR_uRBC,0.04612283665041862
1,急性度,0,R_BUN_Cr,0.5577304216155025
1,急性度,0,R_CRP_alb,0.4917335291250207
2,部位,腎小管間質,L_Cr,0.14010564657506752
2,部位,腎小管間質,L_BUN,1.8245320187417724
2,部位,腎小管間質,L_UPCR,-0.8555757131509835
2,部位,腎小管間質,L_uRBC,-1.3428117965728983
2,部位,腎小管間質,L_uRBC_dys,-0.3270141038208057
2,部位,腎小管間質,L_uRBC_acan,-0.45190274730990826
